id;nom_template;corps;datede_creation;datede_modification;active_status
1;till;enormously;2024-08-04T23:02:04;2024-08-05T05:53:51;OFFLINE
2;aha;ha eyelids seat;2024-08-04T15:36:43;2024-08-04T14:49:14;OFFLINE
3;upliftingly annoy;including;2024-08-04T19:12:48;2024-08-05T05:59:36;OFFLINE
4;incidentally ouch;familiar vice;2024-08-04T14:10:28;2024-08-05T07:34:52;AVAILABLE
5;president sky;yuck;2024-08-05T00:54:25;2024-08-05T02:21:53;OFFLINE
6;airfreight keenly oof;warm retrench;2024-08-05T00:45:24;2024-08-05T06:03:28;OFFLINE
7;blissfully;after qua;2024-08-04T12:41:38;2024-08-05T00:38:41;OFFLINE
8;flamboyant a viability;joyously;2024-08-05T05:55:41;2024-08-04T12:44:00;AVAILABLE
9;cheer besides;jot;2024-08-05T06:09:35;2024-08-05T08:20:10;OFFLINE
10;clown venture ack;ha;2024-08-04T22:42:23;2024-08-05T09:38:40;OFFLINE
