id;date_debut;date_fin;nombre_personnes;total_prix;statut_paiement
1;2024-08-04T13:57:56;2024-08-05T09:07:41;7823;30185.9;ANNULE
2;2024-08-05T07:10:13;2024-08-04T15:37:58;30294;22868.79;CONFIRME
3;2024-08-05T09:31:40;2024-08-05T04:03:51;11916;11319.48;CONFIRME
4;2024-08-05T07:55:01;2024-08-05T07:35:55;32209;31392.16;EN_COURS
5;2024-08-04T15:00:53;2024-08-04T10:33:33;16441;21620.14;ANNULE
6;2024-08-05T02:49:55;2024-08-04T19:56:50;27069;2060.82;EN_COURS
7;2024-08-05T05:01:33;2024-08-05T00:56:45;8935;10389.92;CONFIRME
8;2024-08-05T08:47:00;2024-08-05T07:20:40;8242;7070.73;EN_COURS
9;2024-08-05T02:32:14;2024-08-04T15:38:28;17802;8899.1;CONFIRME
10;2024-08-05T06:28:31;2024-08-04T17:06:02;15339;18083.81;EN_COURS
